datetime,elapsed_s,gas1
2026/08/01@14:08:01,7,2.802
2026/08/01@14:08:02,8,2.8014376
2026/08/01@14:08:04,10,2.7997504
2026/08/01@14:08:05,11,2.7978752
2026/08/01@14:08:06,12,2.796375
2026/08/01@14:08:07,13,2.7948752
2026/08/01@14:08:08,14,2.794125
2026/08/01@14:08:09,15,2.7922502
2026/08/01@14:08:10,16,2.791125
2026/08/01@14:08:11,17,2.7898126
2026/08/01@14:08:12,18,2.7886876
2026/08/01@14:08:13,19,2.7873752
2026/08/01@14:08:14,20,2.7868128
2026/08/01@14:08:16,22,2.7855
2026/08/01@14:08:17,23,2.7843752
2026/08/01@14:08:18,24,2.7841878
2026/08/01@14:08:19,25,2.7826876
2026/08/01@14:08:20,26,2.7823126
2026/08/01@14:08:21,27,2.7813752
2026/08/01@14:08:22,28,2.7804374
2026/08/01@14:08:23,29,2.7798752
2026/08/01@14:08:24,30,2.7793126
2026/08/01@14:08:25,31,2.7787502
2026/08/01@14:08:26,32,2.778
2026/08/01@14:08:27,33,2.7774376
2026/08/01@14:08:29,35,2.776875
2026/08/01@14:08:30,36,2.7763128
2026/08/01@14:08:31,37,2.7757502
2026/08/01@14:08:32,38,2.7753752
2026/08/01@14:08:33,39,2.7748128
2026/08/01@14:08:34,40,2.77425
2026/08/01@14:08:35,41,2.7738752
2026/08/01@14:08:36,42,2.7731252
2026/08/01@14:08:37,43,2.7727502
2026/08/01@14:08:38,44,2.7727502
2026/08/01@14:08:39,45,2.772375
2026/08/01@14:08:40,46,2.7718126
2026/08/01@14:08:42,48,2.771625
2026/08/01@14:08:43,49,2.7712502
2026/08/01@14:08:44,50,2.7708752
2026/08/01@14:08:45,51,2.7703126
2026/08/01@14:08:46,52,2.7701252
2026/08/01@14:08:47,53,2.7699376
2026/08/01@14:08:48,54,2.76975
2026/08/01@14:08:49,55,2.7691876
2026/08/01@14:08:50,56,2.7691876
2026/08/01@14:08:51,57,2.7688126
2026/08/01@14:08:52,58,2.7682502
2026/08/01@14:08:53,59,2.7678752
2026/08/01@14:08:55,61,2.7675
2026/08/01@14:08:56,62,2.7673126
2026/08/01@14:08:57,63,2.76675
2026/08/01@14:08:58,64,2.7671252
2026/08/01@14:08:59,65,2.7665628
2026/08/01@14:09:00,66,2.766375
2026/08/01@14:09:01,67,2.7658126
2026/08/01@14:09:02,68,2.7661876
2026/08/01@14:09:03,69,2.7656252
2026/08/01@14:09:04,70,2.7656252
2026/08/01@14:09:05,71,2.7654376
2026/08/01@14:09:07,72,2.764875
2026/08/01@14:09:08,74,2.764875
2026/08/01@14:09:09,75,2.7650626
2026/08/01@14:09:10,76,2.764875
2026/08/01@14:09:11,77,2.764875
2026/08/01@14:09:12,78,2.7643128
2026/08/01@14:09:13,79,2.7643128
2026/08/01@14:09:14,80,2.7639376
2026/08/01@14:09:15,81,2.7639376
2026/08/01@14:09:16,82,2.76375
2026/08/01@14:09:17,83,2.76375
2026/08/01@14:09:18,84,2.7633752
2026/08/01@14:09:20,86,2.7633752
2026/08/01@14:09:21,87,2.7633752
2026/08/01@14:09:22,88,2.7631876
2026/08/01@14:09:23,89,2.7630002
