2026/08/01@06:28:06,2026/08/01@06:28:05,8,22.500016
2026/08/01@06:28:06,2026/08/01@06:28:05,8,22.500016
2026/08/01@06:28:07,2026/08/01@06:28:07,9,22.225024
2026/08/01@06:28:08,2026/08/01@06:28:08,11,22.125006
2026/08/01@06:28:09,2026/08/01@06:28:09,12,21.92502
2026/08/01@06:28:10,2026/08/01@06:28:10,13,21.675014
2026/08/01@06:28:11,2026/08/01@06:28:11,14,21.650006
2026/08/01@06:28:12,2026/08/01@06:28:12,15,21.62502
2026/08/01@06:28:13,2026/08/01@06:28:13,16,21.62502
2026/08/01@06:28:14,2026/08/01@06:28:14,17,21.62502
2026/08/01@06:28:15,2026/08/01@06:28:15,18,21.700026
2026/08/01@06:28:17,2026/08/01@06:28:16,19,21.800018
2026/08/01@06:28:18,2026/08/01@06:28:17,20,21.875024
2026/08/01@06:28:19,2026/08/01@06:28:19,22,22.0250132
2026/08/01@06:28:20,2026/08/01@06:28:20,23,21.850014
2026/08/01@06:28:21,2026/08/01@06:28:21,24,21.500016
2026/08/01@06:28:22,2026/08/01@06:28:22,25,21.27502
2026/08/01@06:28:23,2026/08/01@06:28:23,26,21.150016
2026/08/01@06:28:24,2026/08/01@06:28:24,27,20.950008
2026/08/01@06:28:25,2026/08/01@06:28:25,28,20.77501
2026/08/01@06:28:26,2026/08/01@06:28:26,29,20.575024
2026/08/01@06:28:28,2026/08/01@06:28:27,30,20.42501
2026/08/01@06:28:29,2026/08/01@06:28:28,31,20.225026
2026/08/01@06:28:30,2026/08/01@06:28:30,33,19.950008
2026/08/01@06:28:31,2026/08/01@06:28:31,34,19.725014
2026/08/01@06:28:32,2026/08/01@06:28:32,35,19.550014
2026/08/01@06:28:33,2026/08/01@06:28:33,36,19.42501
2026/08/01@06:28:34,2026/08/01@06:28:34,37,19.200016
2026/08/01@06:28:35,2026/08/01@06:28:35,38,19.100024
2026/08/01@06:28:36,2026/08/01@06:28:36,39,18.925024
2026/08/01@06:28:37,2026/08/01@06:28:37,40,18.80002
2026/08/01@06:28:39,2026/08/01@06:28:38,41,18.750024
2026/08/01@06:28:40,2026/08/01@06:28:39,42,18.675018
2026/08/01@06:28:41,2026/08/01@06:28:41,44,18.700004
2026/08/01@06:28:42,2026/08/01@06:28:42,45,18.650008
2026/08/01@06:28:43,2026/08/01@06:28:43,46,18.550014
2026/08/01@06:28:44,2026/08/01@06:28:44,47,18.450022
2026/08/01@06:28:45,2026/08/01@06:28:45,48,18.375016
2026/08/01@06:28:46,2026/08/01@06:28:46,49,18.400002
2026/08/01@06:28:47,2026/08/01@06:28:47,50,18.400002
2026/08/01@06:28:48,2026/08/01@06:28:48,51,18.400002
2026/08/01@06:28:49,2026/08/01@06:28:49,52,18.275022
2026/08/01@06:28:51,2026/08/01@06:28:50,53,18.100024
2026/08/01@06:28:52,2026/08/01@06:28:52,55,17.975022
2026/08/01@06:28:53,2026/08/01@06:28:53,56,17.900014
2026/08/01@06:28:54,2026/08/01@06:28:54,57,18.050004
2026/08/01@06:28:55,2026/08/01@06:28:55,58,18.075014
2026/08/01@06:28:56,2026/08/01@06:28:56,59,17.95001
2026/08/01@06:28:57,2026/08/01@06:28:57,60,17.900014
2026/08/01@06:28:58,2026/08/01@06:28:58,61,17.900014
2026/08/01@06:28:59,2026/08/01@06:28:59,62,17.900014
2026/08/01@06:29:00,2026/08/01@06:29:00,63,17.900014
2026/08/01@06:29:02,2026/08/01@06:29:01,64,17.925024
2026/08/01@06:29:03,2026/08/01@06:29:03,66,17.875004
2026/08/01@06:29:04,2026/08/01@06:29:04,67,17.725016
2026/08/01@06:29:05,2026/08/01@06:29:05,68,17.575002
2026/08/01@06:29:06,2026/08/01@06:29:06,69,17.47501
2026/08/01@06:29:07,2026/08/01@06:29:07,70,17.450024
2026/08/01@06:29:08,2026/08/01@06:29:08,71,17.375018
2026/08/01@06:29:09,2026/08/01@06:29:09,72,17.200018
2026/08/01@06:29:10,2026/08/01@06:29:10,73,17.000008
2026/08/01@06:29:11,2026/08/01@06:29:11,74,16.67502
2026/08/01@06:29:13,2026/08/01@06:29:12,75,16.450024
2026/08/01@06:29:14,2026/08/01@06:29:14,77,16.250016
2026/08/01@06:29:15,2026/08/01@06:29:15,78,16.150022
